"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"boruta.time32",67.1049999999996,0.442999999999998,49.0639999999985,0,0,"Boruta"
"vsurf.time32",39.8150000000001,2.076,491.049000000001,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time32",49.48,0.0800000000000054,118.498000000001,0,0,"VarSelRF"
"pimp.time32",0.447999999999865,0.0609999999999999,130.454,175.81,1.192,"PIMP"
"aucrf.time32",11.6610000000001,0.116,23.1090000000004,0,0,"AUCRF"
"efs.time32",272.768,4.568,366.842000000001,0,0,"EFS"
"rfe.time32",4.25200000000041,0.0120000000000005,4.43599999999969,0,0,"RFE"
"vita.time32",15.7739999999999,0.372999999999998,49.7530000000006,0,0,"Vita"
"perm.time32",3.40900000000011,0.00999999999999801,7.46699999999873,0,0,"Perm"
"binom.rf.time33",1.06100000000015,0.00300000000000011,1.73199999999997,0,0,"BinomialRF"
"boruta.time33",68.8580000000002,0.457000000000008,41.6499999999996,0,0,"Boruta"
"vsurf.time33",37.7760000000003,1.923,619.954,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time33",49.1240000000003,0.0899999999999892,121.507,0,0,"VarSelRF"
"pimp.time33",0.434999999999945,0.0589999999999975,111.392000000002,175.004,1.156,"PIMP"
"aucrf.time33",11.7530000000002,0.108000000000004,21.5889999999999,0,0,"AUCRF"
"efs.time33",273.962,4.36699999999999,316.217000000001,0,0,"EFS"
"rfe.time33",4.21399999999994,0.0120000000000005,6.57800000000134,0,0,"RFE"
"vita.time33",15.598,0.326000000000008,31.5120000000006,0,0,"Vita"
"perm.time33",3.36999999999989,0.0100000000000051,5.0679999999993,0,0,"Perm"
"binom.rf.time34",1.04500000000007,0.00300000000000011,2.18599999999969,0,0,"BinomialRF"
"boruta.time34",65.6320000000001,0.459000000000003,28.2330000000002,0,0,"Boruta"
"vsurf.time34",31.5,1.604,596.142,0.0109999999999673,0.0129999999999999,"VSURF"
"varselrf.time34",47.2180000000003,0.0719999999999885,53.0609999999997,0,0,"VarSelRF"
"pimp.time34",0.439000000000306,0.0640000000000072,112.65,174.218,1.251,"PIMP"
"aucrf.time34",11.4590000000003,0.109000000000009,12.2660000000014,0,0,"AUCRF"
"efs.time34",274.597,5.43300000000001,371,0,0,"EFS"
"rfe.time34",4.14999999999964,0.0150000000000006,8.80299999999988,0,0,"RFE"
"vita.time34",16.0599999999999,0.339999999999989,29.9319999999989,0,0,"Vita"
"perm.time34",3.27799999999979,0.0109999999999957,4.06099999999969,0,0,"Perm"
"binom.rf.time35",1.02599999999984,0.00699999999999079,3.17500000000109,0,0,"BinomialRF"
"boruta.time35",64.038,0.463000000000008,37.7510000000002,0,0,"Boruta"
"vsurf.time35",32.1659999999997,1.48,615.328,0.0100000000002183,0.0129999999999999,"VSURF"
"varselrf.time35",48.1940000000004,0.0859999999999985,52.6699999999983,0,0,"VarSelRF"
"pimp.time35",0.423999999999978,0.0580000000000069,99.2659999999996,175.954,1.245,"PIMP"
"aucrf.time35",11.4470000000001,0.106999999999999,12.235999999999,0,0,"AUCRF"
"efs.time35",278.646,4.52000000000001,403.701999999999,0,0,"EFS"
"rfe.time35",4.1860000000006,0.01400000000001,10.103000000001,0,0,"RFE"
"vita.time35",15.8560000000002,0.334000000000003,17.0069999999996,0,0,"Vita"
"perm.time35",3.28999999999996,0.00900000000000034,3.46799999999894,0,0,"Perm"
"binom.rf.time36",1.03300000000036,0.00199999999999534,1.07700000000114,0,0,"BinomialRF"
"boruta.time36",64.5050000000001,0.450000000000003,48.3239999999987,0,0,"Boruta"
"vsurf.time36",36.7749999999996,1.92999999999999,511.083000000001,0.0109999999999673,0.0120000000000005,"VSURF"
"varselrf.time36",48.8519999999999,0.0870000000000033,122.643,0,0,"VarSelRF"
"pimp.time36",0.454999999999927,0.0689999999999884,135.392,174.782,1.204,"PIMP"
"aucrf.time36",11.6020000000008,0.125,36.0380000000005,0,0,"AUCRF"
"efs.time36",270.836,4.643,344.816000000001,0,0,"EFS"
"rfe.time36",4.18900000000031,0.0109999999999957,4.39000000000124,0,0,"RFE"
"vita.time36",15.5590000000002,0.334999999999994,42.5079999999998,0,0,"Vita"
"perm.time36",3.4389999999994,0.0100000000000051,8.91799999999967,0,0,"Perm"
"binom.rf.time37",1.01299999999992,0.00300000000000011,1.68599999999969,0,0,"BinomialRF"
"boruta.time37",67.9130000000005,0.438000000000002,42.1900000000005,0,0,"Boruta"
"vsurf.time37",33.058,1.497,622.380000000001,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time37",48.6610000000001,0.0819999999999936,105.514999999999,0,0,"VarSelRF"
"pimp.time37",0.426000000000386,0.061000000000007,105.948,173.162,1.163,"PIMP"
"aucrf.time37",11.415,0.102000000000004,12.0339999999997,0,0,"AUCRF"
"efs.time37",273.599,4.68600000000001,320.949000000001,0,0,"EFS"
"rfe.time37",4.15700000000015,0.0159999999999911,6.51000000000022,0,0,"RFE"
"vita.time37",15.8600000000006,0.339999999999989,47.9830000000002,0,0,"Vita"
"perm.time37",3.33799999999974,0.00900000000000034,3.48300000000017,0,0,"Perm"
"binom.rf.time38",1.03499999999985,0.00300000000000011,2.17499999999927,0,0,"BinomialRF"
"boruta.time38",68.1459999999997,0.466000000000008,44.4610000000011,0,0,"Boruta"
"vsurf.time38",42.1280000000006,1.90299999999999,639.788,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time38",47.5309999999999,0.0690000000000026,49.9869999999992,0,0,"VarSelRF"
"pimp.time38",0.446999999999207,0.0649999999999977,110.57,175.216,1.256,"PIMP"
"aucrf.time38",11.4339999999993,0.128,13.1579999999994,0,0,"AUCRF"
"efs.time38",276.009999999999,5.67400000000001,375.698,0,0,"EFS"
"rfe.time38",4.16299999999956,0.0139999999999958,8.69399999999951,0,0,"RFE"
"vita.time38",15.9529999999995,0.325000000000003,17.0590000000011,0,0,"Vita"
"perm.time38",3.2489999999998,0.00900000000000034,3.41499999999905,0,0,"Perm"
"binom.rf.time39",1.09500000000025,0.00199999999999534,2.4429999999993,0,0,"BinomialRF"
"boruta.time39",68.3209999999999,0.430000000000007,42.4050000000007,0,0,"Boruta"
"vsurf.time39",19.2570000000005,0.783999999999992,564.065000000001,0.0109999999999673,0.0129999999999999,"VSURF"
"varselrf.time39",47.259,0.0769999999999982,49.7209999999995,0,0,"VarSelRF"
"pimp.time39",0.452000000000226,0.0640000000000072,117.23,172.657,1.195,"PIMP"
"aucrf.time39",11.357,0.113,12.2910000000011,0,0,"AUCRF"
"efs.time39",276.051,4.688,366.314,0,0,"EFS"
"rfe.time39",4.13999999999942,0.0139999999999958,8.70199999999932,0,0,"RFE"
"vita.time39",15.7919999999995,0.334000000000003,21.9499999999989,0,0,"Vita"
"perm.time39",3.26099999999951,0.0100000000000051,4.04700000000048,0,0,"Perm"
"binom.rf.time40",1.02199999999993,0.00499999999999545,1.14400000000023,0,0,"BinomialRF"
"boruta.time40",66.4070000000002,0.695999999999998,58.6100000000006,0,0,"Boruta"
"vsurf.time40",24.3050000000003,1.18899999999999,483.054999999998,0.0109999999999673,0.0120000000000005,"VSURF"
"varselrf.time40",48.067,1.25399999999999,211.739,0,0,"VarSelRF"
"pimp.time40",0.483999999999469,0.0990000000000038,235.246999999999,172.889,5.735,"PIMP"
"aucrf.time40",11.6750000000002,0.153000000000006,50.5430000000015,0,0,"AUCRF"
"efs.time40",268.861,5.063,349.200000000001,0,0,"EFS"
"rfe.time40",4.15700000000015,0.0120000000000005,4.25799999999981,0,0,"RFE"
"vita.time40",15.8900000000003,0.906000000000006,55.9300000000003,0,0,"Vita"
"perm.time40",3.38400000000001,0.0150000000000006,13.1970000000001,0,0,"Perm"
"binom.rf.time41",1.0659999999998,0.00300000000000011,1.71600000000035,0,0,"BinomialRF"
"boruta.time41",67.393,2.68100000000001,69.5410000000011,0,0,"Boruta"
"vsurf.time41",29.1770000000006,2.38900000000001,757.710999999999,0.0109999999999673,0.0129999999999999,"VSURF"
"varselrf.time41",49.2020000000002,0.120999999999995,75.9470000000001,0,0,"VarSelRF"
"pimp.time41",0.445999999999913,0.0649999999999977,191.496999999999,176.322,3.505,"PIMP"
"aucrf.time41",11.8809999999994,0.126999999999995,13.4979999999996,0,0,"AUCRF"
"efs.time41",279.506,4.99799999999999,340.672,0,0,"EFS"
"rfe.time41",4.25200000000041,0.0139999999999958,6.57499999999891,0,0,"RFE"
"vita.time41",16.3050000000003,0.36399999999999,43.7980000000007,0,0,"Vita"
"perm.time41",3.34700000000066,0.0120000000000005,3.98099999999977,0,0,"Perm"
"binom.rf.time42",1.04699999999957,0.00300000000000011,2.20000000000073,0,0,"BinomialRF"
"boruta.time42",66,1.318,64.509,0,0,"Boruta"
